Entity,Code,Year,Share of the population who are Muslims
Grenada,GRD,2010,0.39466482
Grenada,GRD,2020,0.39466482
Guadeloupe,GLP,2010,0.3746238
Guadeloupe,GLP,2020,0.36998156
Guam,GUM,2010,0.030575955
Guam,GUM,2020,0.030216314
Guatemala,GTM,2010,0.002544158
Guatemala,GTM,2020,0.002706949
Guinea,GIN,2010,87.87899
Guinea,GIN,2020,86.80789
Guinea-Bissau,GNB,2010,53.724464
Guinea-Bissau,GNB,2020,55.979042
Guyana,GUY,2010,6.770056
Guyana,GUY,2020,6.5048914
Haiti,HTI,2010,0.001930329
Haiti,HTI,2020,0.001857289
Honduras,HND,2010,0.002366603
Honduras,HND,2020,0.002766317
Hong Kong,HKG,2010,0.10497679
Hong Kong,HKG,2020,0.2680348
Hungary,HUN,2010,0.06170237
Hungary,HUN,2020,0.13922392
Iceland,ISL,2010,0.72328913
Iceland,ISL,2020,1.2126484
India,IND,2010,14.264812
India,IND,2020,15.190016
Indonesia,IDN,2010,87.532166
Indonesia,IDN,2020,86.96418
Iran,IRN,2010,99.73181
Iran,IRN,2020,99.77311
Iraq,IRQ,2010,99.234406
Iraq,IRQ,2020,99.49836
Ireland,IRL,2010,1.090393
Ireland,IRL,2020,1.6911991
Israel,ISR,2010,13.857499
Israel,ISR,2020,14.731497
Italy,ITA,2010,3.415665
Italy,ITA,2020,4.4194283
Jamaica,JAM,2010,0.016460026
Jamaica,JAM,2020,0.015954982
Japan,JPN,2010,0.15871897
Japan,JPN,2020,0.16997391
Jordan,JOR,2010,96.463875
Jordan,JOR,2020,97.08689
Kazakhstan,KAZ,2010,69.66153
Kazakhstan,KAZ,2020,77.904526
Kenya,KEN,2010,11.224777
Kenya,KEN,2020,10.931154
Kiribati,KIR,2010,0.10287
Kiribati,KIR,2020,0.08540649
Kosovo,OWID_KOS,2010,93.75791
Kosovo,OWID_KOS,2020,94.26041
Kuwait,KWT,2010,82.55859
Kuwait,KWT,2020,80.23991
Kyrgyzstan,KGZ,2010,90.552895
Kyrgyzstan,KGZ,2020,91.71747
Laos,LAO,2010,0.06105096
Laos,LAO,2020,0.022150202
Latin America-Caribbean (Pew),PEW_LAC,2010,0.1206103
Latin America-Caribbean (Pew),PEW_LAC,2020,0.1165746
Latvia,LVA,2010,0.7005371
Latvia,LVA,2020,0.6704086
Lebanon,LBN,2010,62.315773
Lebanon,LBN,2020,67.78356
Lesotho,LSO,2010,0.13614228
Lesotho,LSO,2020,0.21846071
Liberia,LBR,2010,12.052026
Liberia,LBR,2020,12.723525
Libya,LBY,2010,96.818596
Libya,LBY,2020,98.99452
Lithuania,LTU,2010,0.09976198
Lithuania,LTU,2020,0.08921702
Luxembourg,LUX,2010,0.7310006
Luxembourg,LUX,2020,1.8289418
Macao,MAC,2010,0.35169756
Macao,MAC,2020,0.47613204
Madagascar,MDG,2010,0.6303311
Madagascar,MDG,2020,1.1594887
Malawi,MWI,2010,11.617261
Malawi,MWI,2020,11.551904
Malaysia,MYS,2010,61.304615
Malaysia,MYS,2020,64.117195
Maldives,MDV,2010,94.12314
Maldives,MDV,2020,94.07235
Mali,MLI,2010,94.031715
Mali,MLI,2020,94.13371
Malta,MLT,2010,0.158912
Malta,MLT,2020,3.6430144
Martinique,MTQ,2010,0.21097839
Martinique,MTQ,2020,0.21691339
Mauritania,MRT,2010,99.12472
Mauritania,MRT,2020,99.1854
Mauritius,MUS,2010,17.39204
Mauritius,MUS,2020,17.511871
Mayotte,MYT,2010,98.66365
Mayotte,MYT,2020,98.83877
Mexico,MEX,2010,0.003439206
Mexico,MEX,2020,0.006285933
Micronesia (country),FSM,2010,0.001932067
Micronesia (country),FSM,2020,0.001957694
Middle East-North Africa (Pew),PEW_MENA,2010,93.967026
Middle East-North Africa (Pew),PEW_MENA,2020,94.18347
Moldova,MDA,2010,0.13277817
Moldova,MDA,2020,0.18123922
Mongolia,MNG,2010,3.2973683
Mongolia,MNG,2020,3.526083
Montenegro,MNE,2010,19.623964
Montenegro,MNE,2020,21.307114
Morocco,MAR,2010,99.65975
Morocco,MAR,2020,99.67552
Mozambique,MOZ,2010,17.990868
Mozambique,MOZ,2020,19.427248
Myanmar,MMR,2010,4.5769453
Myanmar,MMR,2020,3.3453557
Namibia,NAM,2010,0.066583775
Namibia,NAM,2020,0.11899709
Nepal,NPL,2010,4.4008803
Nepal,NPL,2020,5.0839415
Netherlands,NLD,2010,5.0002813
Netherlands,NLD,2020,5.500673
New Caledonia,NCL,2010,2.7659676
New Caledonia,NCL,2020,2.760157
New Zealand,NZL,2010,1.1982703
New Zealand,NZL,2020,1.3594259
Nicaragua,NIC,2010,0.004781638
Nicaragua,NIC,2020,0.004588585
Niger,NER,2010,98.58446
Niger,NER,2020,98.13329
Nigeria,NGA,2010,54.54432
Nigeria,NGA,2020,56.06651
North America,OWID_NAM,2010,0.7340031
North America,OWID_NAM,2020,1.0079705
North America (Pew),PEW_NAM,2010,1.1247675
North America (Pew),PEW_NAM,2020,1.5659525
North Korea,PRK,2010,0.010000734
North Korea,PRK,2020,0.010000302
North Macedonia,MKD,2010,33.33
North Macedonia,MKD,2020,34.72726
Norway,NOR,2010,2.5196297
Norway,NOR,2020,4.113745
Oceania,OWID_OCE,2010,1.8105208
Oceania,OWID_OCE,2020,2.365296
Oman,OMN,2010,90.125305
Oman,OMN,2020,81.7873
Pakistan,PAK,2010,96.68558
Pakistan,PAK,2020,96.544304
Palestine,PSE,2010,98.79382
Palestine,PSE,2020,98.96581
Panama,PAN,2010,0.04119637
Panama,PAN,2020,0.053109758
Papua New Guinea,PNG,2010,0.09362717
Papua New Guinea,PNG,2020,0.07477199
Paraguay,PRY,2010,0.012307986
Paraguay,PRY,2020,0.011331539
Peru,PER,2010,0.009374068
Peru,PER,2020,0.021588508
Philippines,PHL,2010,5.571123
Philippines,PHL,2020,6.4623485
Poland,POL,2010,0.013087096
Poland,POL,2020,0.007315581
Portugal,PRT,2010,0.2513095
Portugal,PRT,2020,0.4088295
Puerto Rico,PRI,2010,0.10209826
Puerto Rico,PRI,2020,0.10836764
Qatar,QAT,2010,74.62835
Qatar,QAT,2020,75.89176
Reunion,REU,2010,4.2464685
Reunion,REU,2020,4.1668344
Romania,ROU,2010,0.34089473
Romania,ROU,2020,0.35579652
Russia,RUS,2010,8.623188
Russia,RUS,2020,8.193008
Rwanda,RWA,2010,1.321907
Rwanda,RWA,2020,1.8075736
Saint Lucia,LCA,2010,0.102435134
Saint Lucia,LCA,2020,0.094947815
Saint Vincent and the Grenadines,VCT,2010,0.10717303
Saint Vincent and the Grenadines,VCT,2020,0.10706639
Samoa,WSM,2010,0.04109487
Samoa,WSM,2020,0.02529713
Sao Tome and Principe,STP,2010,0.16470982
Sao Tome and Principe,STP,2020,0.09147415
Saudi Arabia,SAU,2010,94.40606
Saudi Arabia,SAU,2020,92.6938
Senegal,SEN,2010,96.12143
Senegal,SEN,2020,97.55647
Serbia,SRB,2010,3.2436063
Serbia,SRB,2020,4.4200506
Seychelles,SYC,2010,0.90005744
Seychelles,SYC,2020,0.8931168
Sierra Leone,SLE,2010,81.555435
Sierra Leone,SLE,2020,80.14664
Singapore,SGP,2010,15.590596
Singapore,SGP,2020,16.138643
Slovakia,SVK,2010,0.040326726
Slovakia,SVK,2020,0.054791708
Slovenia,SVN,2010,0.92064786
Slovenia,SVN,2020,1.6086276
Solomon Islands,SLB,2010,0.268637
Solomon Islands,SLB,2020,0.3398749
Somalia,SOM,2010,99.80715
Somalia,SOM,2020,99.8334
South Africa,ZAF,2010,1.9425765
South Africa,ZAF,2020,1.6048827
South America,OWID_SAM,2010,0.15437274
South America,OWID_SAM,2020,0.14929676
South Korea,KOR,2010,0.21000536
South Korea,KOR,2020,0.3100028
South Sudan,SSD,2010,6.2313323
South Sudan,SSD,2020,6.223002
Spain,ESP,2010,2.1165242
Spain,ESP,2020,3.5752525
Sri Lanka,LKA,2010,9.664056
Sri Lanka,LKA,2020,10.202401
Sub-Saharan Africa (Pew),PEW_SSA,2010,31.982992
Sub-Saharan Africa (Pew),PEW_SSA,2020,32.782265
Sudan,SDN,2010,99.7012
Sudan,SDN,2020,98.855515
Suriname,SUR,2010,14.058509
Suriname,SUR,2020,13.0901985
Sweden,SWE,2010,4.517246
Sweden,SWE,2020,8.099198
Switzerland,CHE,2010,5.0725255
Switzerland,CHE,2020,6.0830727
Syria,SYR,2010,89.46464
Syria,SYR,2020,94.16599
Taiwan,TWN,2010,0.3452052
Taiwan,TWN,2020,0.49780315
Tajikistan,TJK,2010,98.911224
Tajikistan,TJK,2020,98.91412
Tanzania,TZA,2010,35.38309
Tanzania,TZA,2020,29.867817
Thailand,THA,2010,5.0443287
Thailand,THA,2020,4.51459
Togo,TGO,2010,16.219923
Togo,TGO,2020,16.138145
Tonga,TON,2010,0.023360845
Tonga,TON,2020,0.060463753
Trinidad and Tobago,TTO,2010,5.5440917
Trinidad and Tobago,TTO,2020,5.464285
Tunisia,TUN,2010,99.39179
Tunisia,TUN,2020,99.303795
Turkey,TUR,2010,98.62884
Turkey,TUR,2020,97.10687
Turkmenistan,TKM,2010,93.02089
Turkmenistan,TKM,2020,94.28793
Uganda,UGA,2010,11.20589
Uganda,UGA,2020,11.4129305
Ukraine,UKR,2010,0.9027081
Ukraine,UKR,2020,0.56782633
United Arab Emirates,ARE,2010,75.12832
United Arab Emirates,ARE,2020,72.94023
United Kingdom,GBR,2010,5.258263
United Kingdom,GBR,2020,6.3691177
United States,USA,2010,0.8911868
United States,USA,2020,1.1923809
